Sno,partNumber,noun,kitName,stateStatus,currentStatus,manufacturer,form48number,userName,dieNumber,remarks
106,HB1-203F-4X12,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Dwg after solving querry  05-03-2025
107,HB1-203F-M3X8,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-
108,HB1-203F-M4X10,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Dwg after solving querry  27-02-2025
109,HB1-203F-M4X12,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Dwg after solving querry  05-03-2025
110,RDF44-0003,SPRING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
111,RDF44-0004,SPRING SEAT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
112,RDF44-1001,VALVE,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
113,YDF33-1012,SLIDE VALVE,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
114,YDF33-1014,SPRING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
115,FR307-104,SPRING SEAT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
116,FR307-105,SPRING SEAT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
117,FR307-106,SPRING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
118,FR307-107,SMALL SHAFT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
119,FR307-108,VALVE SEAT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
120,J7I-4102-315,BOLT,Kit C 125,Under Indegenization,Under Feasibility 13-03-25,Machine shop,,AFR ACCY SHOP II,,Metallic-
121,YDT12-005,NUT,Kit C 125,Part Under TF,Under Feasibility 26-02-25,Machine shop,WTFMS2403250003,AFR ACCY SHOP II,,Metallic-
122,YDT12-012,LABEL,Kit C 125,Part Under TF,CAN BE MFG,PMC,WTFPM1803250060,AFR ACCY SHOP II,,Metallic-RE FEASIBILITY SENT TO PMC 04-03-25
123,16D106-36-30.2-B,PROTECTIVE RING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Rubber-
124,16D106-45.4-40,PROTECTIVE RING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Rubber-
125,QYF44-02,SCREW PLUG,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
126,QYF44A-02,VALVE,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
127,HB6260M4RI-hole 3,NUT,Kit C 125,Under Indegenization,Under Feasibility 17-03-25,Machine shop,,AFR ACCY SHOP II,,Metallic-
128,HB6260M5RI-hole 3,NUT,Kit C 125,Under Indegenization,Under Feasibility 17-03-25,Machine shop,,AFR ACCY SHOP II,,Metallic-
129,RDF23-111,RIVET,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
130,RDF23-113,SCREW,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
131,RDF23-101,PIN,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
132,RDF23-106,SPRING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
133,CT28-105,LIFT ROD,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
134,YDF23-106,LOWER VALVE,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
135,YDF23-109,CAP COVER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
136,YDF23-110,SPRING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
137,ZL-44208A,BUSH,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
138,QDF51-0001,CASING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
139,ZL-44470A,S/PLUG,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
140,ZL-8109U,SPRING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
141,YZL25-3001,FRONT HOUSING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
142,YZL25-3100,VALVE SEAT ASSEMBLY,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
143,YZL25-4000,REAR VALVE BODY ASSEMBLY,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
144,YZL25-4001,REAR HOUSING,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
145,RLB34-109,SHAFT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
146,RLB34-112,ADJUSTING WASHER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
147,RLB34-113,LOCK WASHER,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
148,RLB34-114,SLOTTED NUT,Kit C 125,Form 17 Pending,Form-017 Requried,,,,,Metallic-
